image_id,image_path,ethnic_group,ethnic_group_zh,label_letter
Dong_0001,data/服饰2/民族服饰/侗族/侗族服饰 (1).jpeg,Dong,侗族,B
Dong_0002,data/服饰2/民族服饰/侗族/侗族服饰 (10).jpeg,Dong,侗族,B
Dong_0003,data/服饰2/民族服饰/侗族/侗族服饰 (100).jpeg,Dong,侗族,B
Dong_0004,data/服饰2/民族服饰/侗族/侗族服饰 (101).jpeg,Dong,侗族,B
Dong_0005,data/服饰2/民族服饰/侗族/侗族服饰 (102).jpeg,Dong,侗族,B
Dong_0006,data/服饰2/民族服饰/侗族/侗族服饰 (103).jpeg,Dong,侗族,B
Dong_0007,data/服饰2/民族服饰/侗族/侗族服饰 (104).jpeg,Dong,侗族,B
Dong_0008,data/服饰2/民族服饰/侗族/侗族服饰 (105).jpeg,Dong,侗族,B
Dong_0009,data/服饰2/民族服饰/侗族/侗族服饰 (106).jpeg,Dong,侗族,B
Dong_0010,data/服饰2/民族服饰/侗族/侗族服饰 (107).jpeg,Dong,侗族,B
Dong_0011,data/服饰2/民族服饰/侗族/侗族服饰 (108).jpeg,Dong,侗族,B
Dong_0012,data/服饰2/民族服饰/侗族/侗族服饰 (109).jpeg,Dong,侗族,B
Dong_0013,data/服饰2/民族服饰/侗族/侗族服饰 (11).jpeg,Dong,侗族,B
Dong_0014,data/服饰2/民族服饰/侗族/侗族服饰 (110).jpeg,Dong,侗族,B
Dong_0015,data/服饰2/民族服饰/侗族/侗族服饰 (111).jpeg,Dong,侗族,B
Dong_0016,data/服饰2/民族服饰/侗族/侗族服饰 (112).jpeg,Dong,侗族,B
Dong_0017,data/服饰2/民族服饰/侗族/侗族服饰 (113).jpeg,Dong,侗族,B
Dong_0018,data/服饰2/民族服饰/侗族/侗族服饰 (114).jpeg,Dong,侗族,B
Dong_0019,data/服饰2/民族服饰/侗族/侗族服饰 (115).jpeg,Dong,侗族,B
Dong_0020,data/服饰2/民族服饰/侗族/侗族服饰 (116).jpeg,Dong,侗族,B
Dong_0021,data/服饰2/民族服饰/侗族/侗族服饰 (117).jpeg,Dong,侗族,B
Dong_0022,data/服饰2/民族服饰/侗族/侗族服饰 (118).jpeg,Dong,侗族,B
