image_id,group,cell,iconicness_loo,correct
Dong_0001,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0002,Dong,claude-haiku-4.5|en,0.1111111111111111,1
Dong_0003,Dong,claude-haiku-4.5|en,0.2222222222222222,0
Dong_0004,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0005,Dong,claude-haiku-4.5|en,0.0,0
Dong_0006,Dong,claude-haiku-4.5|en,0.3333333333333333,1
Dong_0007,Dong,claude-haiku-4.5|en,0.2222222222222222,0
Dong_0008,Dong,claude-haiku-4.5|en,0.2222222222222222,1
Dong_0009,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0010,Dong,claude-haiku-4.5|en,0.0,0
Dong_0011,Dong,claude-haiku-4.5|en,0.2222222222222222,1
Dong_0012,Dong,claude-haiku-4.5|en,0.4444444444444444,1
Dong_0013,Dong,claude-haiku-4.5|en,0.0,0
Dong_0014,Dong,claude-haiku-4.5|en,0.1111111111111111,1
Dong_0015,Dong,claude-haiku-4.5|en,0.0,0
Dong_0016,Dong,claude-haiku-4.5|en,0.2222222222222222,0
Dong_0017,Dong,claude-haiku-4.5|en,0.0,0
Dong_0018,Dong,claude-haiku-4.5|en,0.0,0
Dong_0019,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0020,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0021,Dong,claude-haiku-4.5|en,0.0,1
Dong_0022,Dong,claude-haiku-4.5|en,0.2222222222222222,0
Dong_0023,Dong,claude-haiku-4.5|en,0.0,0
Dong_0024,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0025,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0026,Dong,claude-haiku-4.5|en,0.0,0
Dong_0027,Dong,claude-haiku-4.5|en,0.2222222222222222,0
Dong_0028,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0029,Dong,claude-haiku-4.5|en,0.2222222222222222,0
Dong_0030,Dong,claude-haiku-4.5|en,0.2222222222222222,0
Dong_0031,Dong,claude-haiku-4.5|en,0.1111111111111111,0
Dong_0032,Dong,claude-haiku-4.5|en,0.0,0
