true_group,language,variant,n,frac_mentions_miao,frac_mentions_dong,frac_mentions_yi,frac_mentions_li,frac_mentions_tibetan,frac_miao_seed,miao_seed_count_mean,mean_char_len
Dong,en,default,500,0.37,0.056,0.002,0.0,0.0,1.0,9.418,3007.996
Dong,en,neutral,100,0.42,0.08,0.0,0.0,0.0,1.0,6.58,2866.65
Dong,zh,default,500,0.422,0.138,0.0,0.0,0.0,0.962,8.304,896.32
Dong,zh,neutral,100,0.43,0.14,0.0,0.0,0.0,0.93,7.26,969.0
Li,en,default,500,0.178,0.018,0.002,0.004,0.0,0.994,7.386,2916.954
Li,en,neutral,100,0.23,0.01,0.01,0.01,0.0,0.94,4.85,2796.67
Li,zh,default,500,0.22,0.088,0.004,0.006,0.004,0.948,6.908,866.14
Li,zh,neutral,100,0.26,0.1,0.0,0.02,0.0,0.91,3.53,790.42
Miao,en,default,500,0.354,0.034,0.0,0.0,0.0,0.988,9.11,2954.024
Miao,en,neutral,100,0.31,0.03,0.0,0.0,0.0,0.99,7.01,2897.41
Miao,zh,default,500,0.43,0.122,0.004,0.0,0.006,0.95,9.46,864.302
Miao,zh,neutral,100,0.37,0.14,0.0,0.0,0.0,0.89,5.37,959.65
Tibetan,en,default,500,0.014,0.008,0.002,0.0,0.34,0.988,6.492,2911.008
Tibetan,en,neutral,100,0.0,0.0,0.02,0.0,0.34,0.95,4.09,2889.73
Tibetan,zh,default,500,0.03,0.024,0.008,0.0,0.428,0.936,5.936,879.298
Tibetan,zh,neutral,100,0.04,0.0,0.0,0.0,0.41,0.93,3.08,928.48
Yi,en,default,500,0.226,0.048,0.014,0.0,0.006,0.998,8.068,2946.48
Yi,en,neutral,100,0.26,0.03,0.02,0.0,0.0,0.96,5.19,2871.59
Yi,zh,default,500,0.272,0.118,0.022,0.0,0.014,0.936,7.056,947.582
Yi,zh,neutral,100,0.28,0.07,0.04,0.0,0.02,0.91,3.71,865.88
