model,origin,language,ethnic_group,class_code,accuracy,n
claude-haiku-4.5,western,en,Miao,A,0.6783333333333333,600
claude-haiku-4.5,western,en,Dong,B,0.26,600
claude-haiku-4.5,western,en,Yi,C,0.25,600
claude-haiku-4.5,western,en,Li,D,0.021666666666666667,600
claude-haiku-4.5,western,en,Tibetan,E,0.21,600
claude-haiku-4.5,western,zh,Miao,A,0.275,600
claude-haiku-4.5,western,zh,Dong,B,0.545,600
claude-haiku-4.5,western,zh,Yi,C,0.43833333333333335,600
claude-haiku-4.5,western,zh,Li,D,0.02666666666666667,600
claude-haiku-4.5,western,zh,Tibetan,E,0.365,600
gpt-4o-mini,western,en,Miao,A,0.9883333333333333,600
gpt-4o-mini,western,en,Dong,B,0.005,600
gpt-4o-mini,western,en,Yi,C,0.095,600
gpt-4o-mini,western,en,Li,D,0.0033333333333333335,600
gpt-4o-mini,western,en,Tibetan,E,0.665,600
gpt-4o-mini,western,zh,Miao,A,0.9933333333333333,600
gpt-4o-mini,western,zh,Dong,B,0.013333333333333334,600
gpt-4o-mini,western,zh,Yi,C,0.05,600
gpt-4o-mini,western,zh,Li,D,0.01,600
gpt-4o-mini,western,zh,Tibetan,E,0.7733333333333333,600
llama-3.2-vision-11b,western,en,Miao,A,0.9966666666666667,600
llama-3.2-vision-11b,western,en,Dong,B,0.0,600
llama-3.2-vision-11b,western,en,Yi,C,0.006666666666666667,600
llama-3.2-vision-11b,western,en,Li,D,0.0,600
llama-3.2-vision-11b,western,en,Tibetan,E,0.345,600
llama-3.2-vision-11b,western,zh,Miao,A,0.8633333333333333,600
llama-3.2-vision-11b,western,zh,Dong,B,0.065,600
llama-3.2-vision-11b,western,zh,Yi,C,0.4166666666666667,600
llama-3.2-vision-11b,western,zh,Li,D,0.0,600
llama-3.2-vision-11b,western,zh,Tibetan,E,0.5466666666666666,600
qwen2-vl-7b,chinese,en,Miao,A,0.995,600
qwen2-vl-7b,chinese,en,Dong,B,0.011666666666666667,600
qwen2-vl-7b,chinese,en,Yi,C,0.13666666666666666,600
qwen2-vl-7b,chinese,en,Li,D,0.025,600
qwen2-vl-7b,chinese,en,Tibetan,E,0.8966666666666666,600
qwen2-vl-7b,chinese,zh,Miao,A,0.9816666666666667,600
qwen2-vl-7b,chinese,zh,Dong,B,0.06666666666666667,600
qwen2-vl-7b,chinese,zh,Yi,C,0.07333333333333333,600
qwen2-vl-7b,chinese,zh,Li,D,0.035,600
qwen2-vl-7b,chinese,zh,Tibetan,E,0.7483333333333333,600
qwen2.5-vl-7b,chinese,en,Miao,A,0.995,600
qwen2.5-vl-7b,chinese,en,Dong,B,0.025,600
qwen2.5-vl-7b,chinese,en,Yi,C,0.041666666666666664,600
qwen2.5-vl-7b,chinese,en,Li,D,0.018333333333333333,600
qwen2.5-vl-7b,chinese,en,Tibetan,E,0.8933333333333333,600
qwen2.5-vl-7b,chinese,zh,Miao,A,0.475,600
qwen2.5-vl-7b,chinese,zh,Dong,B,0.36833333333333335,600
qwen2.5-vl-7b,chinese,zh,Yi,C,0.09833333333333333,600
qwen2.5-vl-7b,chinese,zh,Li,D,0.06833333333333333,600
qwen2.5-vl-7b,chinese,zh,Tibetan,E,0.96,600
