model,origin,language,ethnic_group,char_len,token_count,ttr,general_ctc,correct_ethnic_ctc,correct_ethnic_terms_matched,confusion_terms_matched,confusion_term_rate,n
claude-haiku-4.5,western,en,Dong,2900.97,357.45,0.6243957591487983,0.1846067415730337,0.0,0.0,0.32,0.016842105263157894,100
claude-haiku-4.5,western,en,Li,2777.87,341.52,0.6296065682327294,0.1556179775280899,0.0,0.0,0.07,0.0036842105263157894,100
claude-haiku-4.5,western,en,Miao,2872.04,352.36,0.618422785332408,0.1751685393258427,0.0,0.0,0.1,0.005,100
claude-haiku-4.5,western,en,Tibetan,2684.55,329.08,0.6256501399599624,0.14674157303370786,0.09375,0.75,0.0,0.0,100
claude-haiku-4.5,western,en,Yi,2814.31,347.68,0.6159582939765447,0.17370786516853934,0.0,0.0,0.15,0.007894736842105263,100
claude-haiku-4.5,western,zh,Dong,1053.79,684.32,0.41991945273626874,0.21302083333333333,0.0025,0.01,0.05,0.0025,100
claude-haiku-4.5,western,zh,Li,1000.08,650.36,0.4291896934858551,0.178125,0.035,0.14,0.02,0.001,100
claude-haiku-4.5,western,zh,Miao,1038.37,680.54,0.4289437522455895,0.20177083333333332,0.005,0.02,0.04,0.002,100
claude-haiku-4.5,western,zh,Tibetan,993.79,648.5,0.42506437612442305,0.175625,0.08875,0.71,0.0,0.0,100
claude-haiku-4.5,western,zh,Yi,994.54,658.77,0.426020702978417,0.1872916666666667,0.0,0.0,0.07,0.0035000000000000005,100
gpt-4o-mini,western,en,Dong,3065.84,445.21,0.5017939408535002,0.1740449438202247,0.0,0.0,0.22,0.011578947368421053,100
gpt-4o-mini,western,en,Li,3006.9,436.44,0.5139700426155095,0.16797752808988764,0.0,0.0,0.0,0.0,100
gpt-4o-mini,western,en,Miao,2949.17,426.38,0.5146887216394386,0.16876404494382022,0.0,0.0,0.0,0.0,100
gpt-4o-mini,western,en,Tibetan,2972.29,430.81,0.5217932647305394,0.1543820224719101,0.01625,0.13,0.0,0.0,100
gpt-4o-mini,western,en,Yi,2953.13,428.37,0.5141429931039272,0.17011235955056178,0.0,0.0,0.07,0.0036842105263157894,100
gpt-4o-mini,western,zh,Dong,692.59,590.3,0.41597455549256646,0.15010416666666665,0.0,0.0,0.0,0.0,100
