image_id,model,language,Ethnic_Group,Rating_1to5,Accuracy_1to5,Completeness_1to5,Cultural_Depth_1to5,origin,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Yi_0219,gpt-4o-mini,en,Yi,4,3,5,4,western,Yi,3187,460,0.5195652173913043,0.16853932584269662,15,0.0,0,4,0,0.0,
Miao_0012,qwen2.5-vl-7b,en,Miao,3,3,5,4,chinese,Miao,3296,480,0.5104166666666666,0.16853932584269662,15,0.0,0,3,0,0.0,
Li_0599,gpt-4o-mini,en,Li,3,3,5,3,western,Li,2804,402,0.5074626865671642,0.15730337078651685,14,0.0,0,4,0,0.0,
Miao_0424,llama-3.2-vision-11b,en,Miao,4,4,5,4,western,Miao,2925,438,0.4726027397260274,0.24719101123595505,22,0.0,0,3,0,0.0,
Li_0562,llama-3.2-vision-11b,zh,Li,4,5,5,4,western,Li,464,417,0.2997601918465228,0.13541666666666666,13,0.0,0,4,0,0.0,
Dong_0087,llama-3.2-vision-11b,zh,Dong,3,2,5,2,western,Dong,477,417,0.354916067146283,0.10416666666666667,10,0.0,0,4,0,0.0,
Tibetan_0536,gpt-4o-mini,en,Tibetan,4,3,5,4,western,Tibetan,2867,411,0.5060827250608273,0.20224719101123595,18,0.0,0,8,0,0.0,
Li_0549,qwen2.5-vl-7b,zh,Li,4,4,5,4,chinese,Li,753,649,0.41602465331278893,0.13541666666666666,13,0.0,0,4,0,0.0,
Tibetan_0003,llama-3.2-vision-11b,zh,Tibetan,3,3,5,3,western,Tibetan,399,362,0.31767955801104975,0.0625,6,0.0,0,8,0,0.0,
Yi_0040,claude-haiku-4.5,en,Yi,3,2,5,4,western,Yi,2952,347,0.6253602305475504,0.19101123595505617,17,0.0,0,4,0,0.0,
Yi_0305,claude-haiku-4.5,zh,Yi,5,5,5,4,western,Yi,1320,900,0.3988888888888889,0.25,24,0.0,0,4,0,0.0,
Dong_0362,qwen2-vl-7b,zh,Dong,2,1,5,2,chinese,Dong,754,649,0.3682588597842835,0.19791666666666666,19,0.0,0,4,0,0.0,
Li_0420,claude-haiku-4.5,zh,Li,3,3,5,5,western,Li,1179,793,0.403530895334174,0.1875,18,0.0,0,4,0,0.0,
Miao_0516,gpt-4o-mini,en,Miao,4,3,5,4,western,Miao,3084,436,0.49770642201834864,0.19101123595505617,17,0.0,0,3,0,0.0,
Dong_0597,gpt-4o-mini,en,Dong,4,5,5,4,western,Dong,3057,429,0.4801864801864802,0.19101123595505617,17,0.0,0,4,0,0.0,
Li_0424,claude-haiku-4.5,zh,Li,3,2,5,4,western,Li,1125,745,0.40268456375838924,0.22916666666666666,22,0.0,0,4,0,0.0,
Miao_0183,claude-haiku-4.5,zh,Miao,5,5,5,4,western,Miao,1286,815,0.38282208588957056,0.19791666666666666,19,0.0,0,4,0,0.0,
