image_id,model,origin,language,ethnic_group,char_len,token_count,ttr,general_ctc,general_terms_matched,correct_ethnic_ctc,correct_ethnic_terms_matched,correct_ethnic_terms_total,confusion_terms_matched,confusion_term_rate,matched_ethnic_terms
Tibetan_0177,claude-haiku-4.5,western,en,Tibetan,1915,234,0.6581196581196581,0.0898876404494382,8,0.125,1,8,0,0.0,coral
Dong_0375,claude-haiku-4.5,western,en,Dong,2976,388,0.5541237113402062,0.1797752808988764,16,0.0,0,4,0,0.0,
Tibetan_0430,claude-haiku-4.5,western,en,Tibetan,2080,253,0.7193675889328063,0.11235955056179775,10,0.125,1,8,0,0.0,coral
Li_0357,claude-haiku-4.5,western,en,Li,2515,321,0.5981308411214953,0.1797752808988764,16,0.0,0,4,0,0.0,
Li_0182,claude-haiku-4.5,western,en,Li,2842,337,0.6379821958456974,0.12359550561797752,11,0.0,0,4,0,0.0,
Tibetan_0260,claude-haiku-4.5,western,en,Tibetan,2716,331,0.5921450151057401,0.14606741573033707,13,0.125,1,8,0,0.0,turquoise
Tibetan_0239,claude-haiku-4.5,western,en,Tibetan,2553,325,0.6338461538461538,0.16853932584269662,15,0.0,0,8,0,0.0,
Li_0369,claude-haiku-4.5,western,en,Li,1981,239,0.694560669456067,0.1348314606741573,12,0.0,0,4,0,0.0,
Dong_0082,claude-haiku-4.5,western,en,Dong,2828,348,0.617816091954023,0.21348314606741572,19,0.0,0,4,0,0.0,
Yi_0246,claude-haiku-4.5,western,en,Yi,2686,333,0.6246246246246246,0.1797752808988764,16,0.0,0,4,1,0.05263157894736842,
Dong_0350,claude-haiku-4.5,western,en,Dong,3374,420,0.5880952380952381,0.1797752808988764,16,0.0,0,4,0,0.0,
Li_0260,claude-haiku-4.5,western,en,Li,2461,309,0.6796116504854369,0.14606741573033707,13,0.0,0,4,0,0.0,
Yi_0011,claude-haiku-4.5,western,en,Yi,2867,344,0.6656976744186046,0.11235955056179775,10,0.0,0,4,0,0.0,
Dong_0074,claude-haiku-4.5,western,en,Dong,3558,444,0.5923423423423423,0.2247191011235955,20,0.0,0,4,0,0.0,
Tibetan_0007,claude-haiku-4.5,western,en,Tibetan,2985,360,0.6527777777777778,0.11235955056179775,10,0.0,0,8,0,0.0,
Tibetan_0371,claude-haiku-4.5,western,en,Tibetan,3121,396,0.5858585858585859,0.12359550561797752,11,0.0,0,8,0,0.0,
