language,ethnic_group,ngram,target_df,other_df,target_df_frac,other_df_frac,log_odds_delta,z_score
en,Miao,silver accents,42,24,0.084,0.012,0.7004782278714812,2.7695166557811683
en,Miao,silver embroidery,32,16,0.064,0.008,0.8304057557703253,2.74641488259246
en,Miao,elaborate with a,26,20,0.052,0.01,0.40825565979302336,1.3870642025690776
en,Miao,and elaborate with,26,20,0.052,0.01,0.40825565979302336,1.3870642025690776
en,Miao,decorated with silver,25,20,0.05,0.01,0.3697323406248003,1.2452843058724032
en,Miao,silver headdress which,29,29,0.058,0.0145,0.1506921197103992,0.5796262248888696
en,Miao,is ornate and,50,52,0.1,0.026,0.11238700971512028,0.5731229545329947
en,Miao,style is ornate,33,34,0.066,0.017,0.12140191919591725,0.5018224786094888
en,Miao,silver thread,42,44,0.084,0.022,0.10510990824893618,0.49215241266514836
en,Miao,with intricate silver,29,30,0.058,0.015,0.11737336096693252,0.4552792570063442
en,Miao,silver embellishments,64,69,0.128,0.0345,0.07703213468502934,0.4483371870375354
en,Miao,ornate and elaborate,36,38,0.072,0.019,0.09762160795998831,0.4239718343261826
en,Miao,common in miao,29,32,0.058,0.016,0.05393697139278508,0.21251337583965554
en,Miao,and beadwork,27,30,0.054,0.015,0.04712654949656514,0.179460682620807
en,Miao,this headdress not,27,30,0.054,0.015,0.04712654949656514,0.179460682620807
en,Miao,festivals the miao,32,36,0.064,0.018,0.03493092483738547,0.14523599108013924
en,Miao,is ornate,52,61,0.104,0.0305,-0.006251327638024051,-0.03345736057914211
en,Miao,elaborate headdress which,36,43,0.072,0.0215,-0.023987877056939944,-0.10727172341538539
en,Miao,predominantly black and,27,33,0.054,0.0165,-0.04654312493430446,-0.1812075696469623
en,Miao,miao people celebrate,26,32,0.052,0.016,-0.05338320649704276,-0.20427655489137686
en,Miao,silver alloy,25,31,0.05,0.0155,-0.06071583876286013,-0.22820992903203977
en,Miao,black fabric serves,28,35,0.056,0.0175,-0.0686395122406056,-0.2735215879754342
en,Miao,alloy,25,32,0.05,0.016,-0.09190926150414924,-0.34791478719157737
en,Miao,silver filigree,41,52,0.082,0.026,-0.08306705299880779,-0.4018348939209642
en,Miao,this headdress is,36,46,0.072,0.023,-0.09034293007623351,-0.41020238398924735
en,Miao,ornate and,53,67,0.106,0.0335,-0.07996879613182717,-0.4394992101602378
en,Miao,accessory features a,32,42,0.064,0.021,-0.11665946311847097,-0.5023659658944168
en,Miao,this headdress,70,89,0.14,0.0445,-0.08580758757280904,-0.5426513368788191
en,Miao,fertility and harmony,26,35,0.052,0.0175,-0.14143682392046752,-0.5520503460900794
en,Miao,headdress crown,42,55,0.084,0.0275,-0.11457871864551628,-0.5649678966656115
en,Miao,intricate silver,56,73,0.112,0.0365,-0.11028750573584656,-0.627292489840142
en,Miao,reflecting the miao,35,47,0.07,0.0235,-0.1392010816701621,-0.630024262145826
en,Miao,the traditional miao,41,55,0.082,0.0275,-0.13828860967725287,-0.6772569938430552
en,Miao,silver headdress,74,96,0.148,0.048,-0.10576141866051625,-0.6907546330361234
en,Miao,metal possibly silver,25,35,0.05,0.0175,-0.17994449177481364,-0.6945166641026023
en,Miao,traditional miao costume,47,63,0.094,0.0315,-0.1376325899514006,-0.7215504753894497
en,Miao,miao costume,49,66,0.098,0.033,-0.14244487603250988,-0.7632993843355763
en,Miao,symbolizing status and,26,37,0.052,0.0185,-0.19603216588745287,-0.7742501922796409
en,Miao,of metallic threads,35,49,0.07,0.0245,-0.18019503534180892,-0.822866859427723
en,Miao,miao costume is,42,58,0.084,0.029,-0.16687345263066966,-0.8323234307560395
en,Dong,maroon,32,10,0.064,0.005,1.2858635503683153,3.6123051559566473
en,Dong,miao dress also,25,10,0.05,0.005,1.045933874288015,2.8366320516738748
en,Dong,as miao,31,15,0.062,0.0075,0.8610292595812652,2.7729363163106653
en,Dong,miao dress,32,16,0.064,0.008,0.8290907770197009,2.742065831317331
en,Dong,known as miao,28,14,0.056,0.007,0.8288022869846223,2.5641678630240223
en,Dong,traditional miao dress,29,15,0.058,0.0075,0.7957669649515529,2.533200861511715
en,Dong,of pink,27,20,0.054,0.01,0.4440153082811138,1.5210086946270631
en,Dong,deep burgundy,29,22,0.058,0.011,0.4207003610946076,1.50364948715373
en,Dong,dress also known,27,22,0.054,0.011,0.35049175185693393,1.2329640274484144
en,Dong,cultural meanings often,26,22,0.052,0.011,0.31341005723560045,1.093048028380951
en,Dong,leg,25,22,0.05,0.011,0.27487380089103386,0.9499300490183787
en,Dong,meanings often,29,28,0.058,0.014,0.1838734863881255,0.701030815507968
en,Dong,including floral patterns,28,27,0.056,0.0135,0.18510868175988993,0.6932448708381451
en,Dong,and pink,36,36,0.072,0.018,0.14949634809718848,0.6406576998706703
en,Dong,pink and,51,53,0.102,0.0265,0.1118352102254434,0.5758761368070069
en,Dong,embroidery including floral,26,30,0.052,0.015,0.008738455897381314,0.032946408374469965
en,Dong,pink,148,172,0.296,0.086,0.001661299752404588,0.014966812625956866
en,Dong,the miao new,29,34,0.058,0.017,-0.006956358877506119,-0.027801746968022
en,Dong,is predominantly dark,52,63,0.104,0.0315,-0.039352090421586716,-0.21218097663914817
en,Dong,blue green and,32,40,0.064,0.02,-0.0699767482606033,-0.29809761621433634
en,Dong,as the miao,30,38,0.06,0.019,-0.08297849630881071,-0.3432781980698717
en,Dong,these silver pieces,25,32,0.05,0.016,-0.09320525925412326,-0.3528206777841443
en,Dong,that often include,29,37,0.058,0.0185,-0.09007691955360908,-0.36697252744647096
en,Dong,blue green,37,47,0.074,0.0235,-0.08585331717724376,-0.3946758763732467
en,Dong,beauty fertility,29,38,0.058,0.019,-0.11629102076768927,-0.4765630171306659
en,Dong,vibrant accents,33,43,0.066,0.0215,-0.11084953786682394,-0.4839770768605494
en,Dong,china characterized,36,47,0.072,0.0235,-0.11279873240096627,-0.51459929960646
en,Dong,china characterized by,36,47,0.072,0.0235,-0.11279873240096627,-0.51459929960646
en,Dong,predominantly dark,58,74,0.116,0.037,-0.0904142784602584,-0.5208814288080216
en,Dong,these silver,30,40,0.06,0.02,-0.13340452312232998,-0.5581502083635019
en,Dong,miao embroidery including,28,38,0.056,0.019,-0.15076215468973242,-0.6117256797805875
en,Dong,cuffs and,25,35,0.05,0.0175,-0.18123825378118497,-0.6995100888189983
en,Dong,wearing the miao,25,35,0.05,0.0175,-0.18123825378118497,-0.6995100888189983
en,Dong,silver pieces,47,63,0.094,0.0315,-0.13892770772085683,-0.7283402396637866
en,Dong,pop,29,41,0.058,0.0205,-0.19097634867408964,-0.7955016478230141
en,Dong,pop of,29,41,0.058,0.0205,-0.19097634867408964,-0.7955016478230141
en,Dong,a pop of,28,40,0.056,0.02,-0.20116795993802938,-0.8251839704307313
en,Dong,a pop,28,40,0.056,0.02,-0.20116795993802938,-0.8251839704307313
