language,ethnic_group,ngram,target_df,other_df,target_df_frac,other_df_frac,log_odds_delta,z_score
zh,Miao,以银色,49,18,0.098,0.009,1.1507008390343625,4.239753743048696
zh,Miao,华丽的银,49,21,0.098,0.0105,1.0006749535297574,3.889868322367563
zh,Miao,丽的银饰,46,19,0.092,0.0095,1.0363801024814903,3.8544368220274805
zh,Miao,以银色和,26,7,0.052,0.0035,1.4486078707635688,3.4707290782920874
zh,Miao,头戴华丽,27,8,0.054,0.004,1.356501335306918,3.4326196616250444
zh,Miao,戴华丽的,27,9,0.054,0.0045,1.2427088766366765,3.283273176884167
zh,Miao,性头戴华,25,8,0.05,0.004,1.2819529204654057,3.211237045268929
zh,Miao,银色和,34,18,0.068,0.009,0.7931429152476905,2.7542529626516825
zh,Miao,女性头戴,26,14,0.052,0.007,0.7759556415916693,2.3692810771137602
zh,Miao,银色的装,62,47,0.124,0.0235,0.44259249720321847,2.312271741768199
zh,Miao,饰头饰头,40,27,0.08,0.0135,0.5555396750418549,2.2546937887509677
zh,Miao,形状复杂,30,19,0.06,0.0095,0.6174225475250452,2.129436571743241
zh,Miao,许多银,28,18,0.056,0.009,0.6026709647308301,2.0171393766655155
zh,Miao,的银饰头,57,46,0.114,0.023,0.38077480445938594,1.9409105922112375
zh,Miao,配以银,25,17,0.05,0.0085,0.5474393098172028,1.7604827326827226
zh,Miao,重主要以,28,21,0.056,0.0105,0.4515089901134175,1.5806039389163666
zh,Miao,以银,80,76,0.16,0.038,0.22064843255128785,1.3913080459069855
zh,Miao,而庄重主,31,26,0.062,0.013,0.34187460044216156,1.2987877636285212
zh,Miao,庄重主要,33,30,0.066,0.015,0.2627512979797686,1.0521539988028172
zh,Miao,如龙象征,27,26,0.054,0.013,0.20600450648307866,0.7573398454765983
zh,Miao,搭配银,27,26,0.054,0.013,0.20600450648307866,0.7573398454765983
zh,Miao,的银片,30,32,0.06,0.016,0.10551386875922208,0.4193986118000911
zh,Miao,是丝绸和,30,32,0.06,0.016,0.10551386875922208,0.4193986118000911
zh,Miao,常引人注,39,43,0.078,0.0215,0.07303590844241903,0.3336325339243757
zh,Miao,非常引人,39,43,0.078,0.0215,0.07303590844241903,0.3336325339243757
zh,Miao,多种材质,44,49,0.088,0.0245,0.06323369795436218,0.30754030834811596
zh,Miao,了多种材,44,49,0.088,0.0245,0.06323369795436218,0.30754030834811596
zh,Miao,银色的,100,114,0.2,0.057,0.04044602554983889,0.29817949615478695
zh,Miao,银白,26,29,0.052,0.0145,0.06156912575426077,0.23028752164921473
zh,Miao,镂空,51,58,0.102,0.029,0.04259063859548107,0.22411677288059229
zh,Miao,龙象征着,27,31,0.054,0.0155,0.033113623374646295,0.1270778585492597
zh,Miao,闪烁,28,33,0.056,0.0165,0.007401420530310787,0.0291014050484087
zh,Miao,了华丽,27,32,0.054,0.016,0.0019008630165116003,0.007348791343587614
zh,Miao,点头饰银,38,46,0.076,0.023,-0.018942794202562396,-0.0872979286707912
zh,Miao,银线,35,43,0.07,0.0215,-0.03349502812978944,-0.1486437664383335
zh,Miao,和银色的,29,36,0.058,0.018,-0.04365775028689711,-0.17677502093666048
zh,Miao,如龙凤花,27,34,0.054,0.017,-0.0577009985738961,-0.22616422362610683
zh,Miao,面女性头,26,33,0.052,0.0165,-0.06544381738937233,-0.25216269392396656
zh,Miao,顶精致的,31,40,0.062,0.02,-0.08171115670734608,-0.3450345709092605
zh,Miao,一顶精致,31,40,0.062,0.02,-0.08171115670734608,-0.3450345709092605
zh,Dong,深紫,40,16,0.08,0.008,1.064307669011061,3.650571269909082
zh,Dong,深紫色,30,10,0.06,0.005,1.2402793938774916,3.4539544269211677
zh,Dong,粉色和,25,13,0.05,0.0065,0.8072132587319736,2.3900446990732784
zh,Dong,深棕色,32,20,0.064,0.01,0.6277742225791272,2.2271853559923103
zh,Dong,绿色红色,30,21,0.06,0.0105,0.5165548282014898,1.8351061024234923
zh,Dong,和粉色,25,20,0.05,0.01,0.38529042294977867,1.2976850120590095
zh,Dong,花卉几何,52,48,0.104,0.024,0.24551867045200026,1.2389766378195022
zh,Dong,卉几何图,33,32,0.066,0.016,0.1965560867297773,0.8002568206571044
zh,Dong,括花卉几,28,27,0.056,0.0135,0.2019444367612051,0.7562959427294602
zh,Dong,化魅力服,26,25,0.052,0.0125,0.20470178619789348,0.7382102706763638
zh,Dong,粉色,82,87,0.164,0.0435,0.10869035673235139,0.7132584448408993
zh,Dong,是苗族传,25,25,0.05,0.0125,0.16614439178171914,0.5933704542957958
zh,Dong,高耸,32,35,0.064,0.0175,0.07814328713768415,0.32273353566079244
zh,Dong,搭配蓝色,26,29,0.052,0.0145,0.058841758014059664,0.2200863250296011
zh,Dong,银饰为主,26,30,0.052,0.015,0.02551923931501232,0.09621462759000489
zh,Dong,侗年,25,29,0.05,0.0145,0.020290414542595947,0.0751085391986574
zh,Dong,魅力服饰,29,34,0.058,0.017,0.009825722407179605,0.03926943002117865
zh,Dong,例如花卉,27,32,0.054,0.016,-0.0008240575061329025,-0.003185830128254754
zh,Dong,色粉色,31,37,0.062,0.0185,-0.007748051622063379,-0.032147673298349756
zh,Dong,图案常,29,35,0.058,0.0175,-0.018678982846762615,-0.0751516895166349
zh,Dong,服饰是苗,37,45,0.074,0.0225,-0.02628228129714305,-0.11964573675739186
zh,Dong,着苗族人,33,41,0.066,0.0205,-0.04723994259310338,-0.2040802670301028
zh,Dong,是苗族人,28,36,0.056,0.018,-0.08087465683297523,-0.32430613384429097
zh,Dong,的蓝色,42,54,0.084,0.027,-0.0810458630585984,-0.3980121656305983
zh,Dong,样包括花,31,41,0.062,0.0205,-0.10872016680949148,-0.46157669849160765
zh,Dong,代表了苗,30,40,0.06,0.02,-0.11666663724544613,-0.4881206900901183
zh,Dong,表了苗族,30,40,0.06,0.02,-0.11666663724544613,-0.4881206900901183
zh,Dong,了侗族,25,35,0.05,0.0175,-0.16451839936192947,-0.6349778689049026
zh,Dong,包括花卉,46,62,0.092,0.031,-0.12759597643942122,-0.6625676150490203
zh,Dong,为丝绸,34,47,0.068,0.0235,-0.15226453811196095,-0.6834752372892343
zh,Dong,亮丽的,30,42,0.06,0.021,-0.16464715527601204,-0.6961077934409993
zh,Dong,以花卉,38,53,0.076,0.0265,-0.1611351346576777,-0.7660974874763133
zh,Dong,包括花朵,27,39,0.054,0.0195,-0.1952878274292642,-0.7884502545381432
zh,Dong,粉红色,25,37,0.05,0.0185,-0.21911683298577334,-0.8555641150588426
zh,Dong,艺上刺绣,30,44,0.06,0.022,-0.21039084744862713,-0.8981987514161796
zh,Dong,工艺上刺,30,44,0.06,0.022,-0.21039084744862713,-0.8981987514161796
zh,Dong,苗族女性,25,38,0.05,0.019,-0.245315145256348,-0.9630836205301
zh,Dong,腻色彩鲜,31,46,0.062,0.023,-0.22189139235251343,-0.9652654754858718
zh,Dong,深色为主,34,50,0.068,0.025,-0.21314584406419712,-0.9692444615409134
zh,Dong,苗族的文,28,44,0.056,0.022,-0.27813342188498424,-1.1633087080267883
zh,Yi,螺旋,45,20,0.09,0.01,0.9650159167696204,3.639530221403344
zh,Yi,褶皱,31,23,0.062,0.0115,0.4624061163346749,1.6980204175746034
zh,Yi,舞蹈,35,33,0.07,0.0165,0.2270850141940981,0.9453553947810288
zh,Yi,有红色和,25,25,0.05,0.0125,0.16901344901094006,0.6036170462706854
zh,Yi,和黑色的,26,27,0.052,0.0135,0.13194296390429727,0.48506542697022426
zh,Yi,循环,30,32,0.06,0.016,0.10565158375646799,0.41994600409409166
zh,Yi,色彩鲜明,50,55,0.1,0.0275,0.07556160259723388,0.3906005318598601
zh,Yi,波浪,28,33,0.056,0.0165,0.0075388399285500896,0.029641719918141227
zh,Yi,红色和黑,37,45,0.074,0.0225,-0.023418256994321318,-0.10660774002004507
zh,Yi,和白色的,31,40,0.062,0.02,-0.08157395177888116,-0.34445520763101095
zh,Yi,是汉,25,33,0.05,0.0165,-0.10384147470698402,-0.3957523583720559
zh,Yi,黑白,35,46,0.07,0.023,-0.09973580164064888,-0.44929793639791843
zh,Yi,的帽子,27,37,0.054,0.0185,-0.14069036778487032,-0.5617432109759849
zh,Yi,摆的,31,43,0.062,0.0215,-0.1527118387658266,-0.6550283910014015
zh,Yi,黑色和白,28,41,0.056,0.0205,-0.2058786842025766,-0.8488560146511682
zh,Yi,的领口和,27,41,0.054,0.0205,-0.24158762027731662,-0.9854508162508189
zh,Yi,红色和白,31,47,0.062,0.0235,-0.24019237635408253,-1.04947242201709
zh,Yi,条纹装饰,25,39,0.05,0.0195,-0.2679836865140057,-1.0575892971970833
zh,Yi,的流,49,71,0.098,0.0355,-0.19616723491076016,-1.0675643585366326
zh,Yi,摆部分,27,42,0.054,0.021,-0.2652678311142873,-1.0873067371142833
zh,Yi,黑色作为,26,42,0.052,0.021,-0.30230003349444434,-1.225062967754621
zh,Yi,图案主要,30,48,0.06,0.024,-0.29308990881906816,-1.2734126268218444
zh,Yi,和红色的,32,51,0.064,0.0255,-0.2893344203372541,-1.2973099471053458
zh,Yi,流苏和,29,47,0.058,0.0235,-0.3056704433215316,-1.3090540735034961
zh,Yi,对称的,37,61,0.074,0.0305,-0.32289246756865086,-1.5671003682433529
zh,Yi,裙摆,84,125,0.168,0.0625,-0.22357316277943173,-1.6017709812673915
zh,Yi,和下摆,26,46,0.052,0.023,-0.39163886692886773,-1.614944840481653
zh,Yi,出民族,29,51,0.058,0.0255,-0.3859280280154467,-1.6787878186232228
zh,Yi,有白色,26,47,0.052,0.0235,-0.41275180318011184,-1.708799286628581
zh,Yi,口和袖口,40,67,0.08,0.0335,-0.3386584153089416,-1.7141747726575984
zh,Yi,长袖,30,53,0.06,0.0265,-0.39047742091208804,-1.729080495191128
zh,Yi,的流苏,34,59,0.068,0.0295,-0.37311572039250596,-1.7529762375782356
zh,Yi,胸前的,27,49,0.054,0.0245,-0.41668333331525176,-1.7591990896450338
zh,Yi,采用黑,29,52,0.058,0.026,-0.4050031209423155,-1.7681383082823152
zh,Yi,帽子上,26,48,0.052,0.024,-0.43341720263326167,-1.8012826759516214
zh,Yi,着生命的,32,57,0.064,0.0285,-0.3986871555002969,-1.8261083856910307
zh,Yi,和袖口处,34,60,0.068,0.03,-0.38964320702955657,-1.8364040871018863
zh,Yi,红色黑色,25,47,0.05,0.0235,-0.4511682155759207,-1.8447123048037166
zh,Yi,化含义上,28,52,0.056,0.026,-0.43939354429598954,-1.897077571314316
zh,Yi,宽松的,28,52,0.056,0.026,-0.43939354429598954,-1.897077571314316
zh,Li,东南亚,46,22,0.092,0.011,0.8928795986906728,3.489031875029049
zh,Li,了东南亚,25,9,0.05,0.0045,1.16744067868221,3.051159224181864
zh,Li,着丰收繁,44,28,0.088,0.014,0.613112152526119,2.56437612278623
zh,Li,丰收繁荣,50,37,0.1,0.0185,0.46526413186657045,2.1680508443686684
zh,Li,收繁荣和,36,25,0.072,0.0125,0.5269588101428511,2.045929245992895
zh,Li,这些传统,31,21,0.062,0.0105,0.5510292299086235,1.9709473110274793
zh,Li,些传统民,25,17,0.05,0.0085,0.5469510355994114,1.7589125160142796
zh,Li,色和黄色,39,35,0.078,0.0175,0.2751332619124467,1.1936478244602813
zh,Li,的东,27,23,0.054,0.0115,0.32596452890424654,1.1605710306661465
zh,Li,饰包括项,36,33,0.072,0.0165,0.25419112019472223,1.0654229020123394
zh,Li,黄色绿色,29,26,0.058,0.013,0.27579222278354365,1.0315479828062228
zh,Li,艺这些服,28,25,0.056,0.0125,0.27981783758276,1.0272933704698781
zh,Li,织布,36,34,0.072,0.017,0.2248303504658109,0.9496520577276928
zh,Li,戴了银饰,30,29,0.06,0.0145,0.20181515863719124,0.7828203496945427
zh,Li,红色黄色,52,53,0.104,0.0265,0.15013848148880093,0.7769237193183777
zh,Li,包括项链,28,30,0.056,0.015,0.10062515126120797,0.38682620045186855
zh,Li,子则,25,27,0.05,0.0135,0.09276127911199872,0.3376071369049411
zh,Li,物纹样这,28,32,0.056,0.016,0.037172234854754294,0.14511300582523184
zh,Li,颜色与,25,30,0.05,0.015,-0.010789464671900006,-0.04025299189797635
zh,Li,统服饰不,31,38,0.062,0.019,-0.031739848457007724,-0.13249626408620174
zh,Li,头上,29,36,0.058,0.018,-0.04414238152857575,-0.17873734600680988
zh,Li,是日常生,28,35,0.056,0.0175,-0.050939002941550626,-0.20298682959194803
zh,Li,作工艺从,61,75,0.122,0.0375,-0.034867594564185644,-0.2043009610836324
zh,Li,图案和植,31,39,0.062,0.0195,-0.05729116033883397,-0.2405612988049366
zh,Li,案和植物,31,39,0.062,0.0195,-0.05729116033883397,-0.2405612988049366
zh,Li,征意义例,37,47,0.074,0.0235,-0.06685137314201661,-0.3073221297566104
zh,Li,形可能代,28,36,0.056,0.018,-0.07863796942928758,-0.3153370516507649
zh,Li,代的结合,27,35,0.054,0.0175,-0.08668307624148319,-0.3419543046531073
zh,Li,现代的结,27,35,0.054,0.0175,-0.08668307624148319,-0.3419543046531073
zh,Li,用棉麻等,25,33,0.05,0.0165,-0.10446247832095779,-0.3981190778883299
zh,Li,红色黑色,31,41,0.062,0.0205,-0.10648447439785791,-0.45208495880348865
zh,Li,何图案可,26,35,0.052,0.0175,-0.12376417832522968,-0.4830712086437772
zh,Li,裙子上,27,37,0.054,0.0185,-0.14131095648720837,-0.5642210742144964
zh,Li,工艺从图,57,75,0.114,0.0375,-0.1018034507818042,-0.5853785622681128
zh,Li,艺从图片,57,75,0.114,0.0375,-0.1018034507818042,-0.5853785622681128
zh,Li,下身,28,39,0.056,0.0195,-0.15733504190513337,-0.6419479825714691
zh,Li,自然环境,27,38,0.054,0.019,-0.16752514144961594,-0.6726896524544679
zh,Li,不仅是日,40,55,0.08,0.0275,-0.14491170479583637,-0.7047183657505577
zh,Li,简洁而富,28,40,0.056,0.02,-0.18222479273015857,-0.7474797578218276
zh,Li,洁而富有,28,40,0.056,0.02,-0.18222479273015857,-0.7474797578218276
zh,Tibetan,藏族,214,12,0.428,0.006,2.916187051530386,10.669703709855243
zh,Tibetan,羊毛,184,27,0.368,0.0135,2.0473506505595105,10.273606950392724
zh,Tibetan,藏族服饰,162,7,0.324,0.0035,3.1263849248537157,8.985821416024736
zh,Tibetan,是藏族,124,8,0.248,0.004,2.784435037244121,8.205142475178675
